timestamp,role,flow,packets,bytes
1789402810.209310994,axiom,quic_in,1,55
1789402810.209310994,axiom,quic_out,0,0
1789402810.685368868,acorn,client_in,0,0
1789402810.685368868,acorn,client_out,21,17270
1789402810.685368868,acorn,quic_in,23,19605
1789402810.685368868,acorn,quic_out,5,275
1789402815.213136363,axiom,quic_in,1165,68692
1789402815.213136363,axiom,quic_out,3175,2989019
1789402815.710907185,acorn,client_in,78,4918
1789402815.710907185,acorn,client_out,3698,2843952
1789402815.710907185,acorn,quic_in,3208,3011291
1789402815.710907185,acorn,quic_out,1185,69838
1789402820.217123957,axiom,quic_in,2306,136245
1789402820.217123957,axiom,quic_out,6338,5968344
1789402820.755154892,acorn,client_in,158,9984
1789402820.755154892,acorn,client_out,7392,5686038
1789402820.755154892,acorn,quic_in,6402,6019478
1789402820.755154892,acorn,quic_out,2317,136903
1789402825.221419699,axiom,quic_in,3336,197443
1789402825.221419699,axiom,quic_out,9501,8947700
1789402825.795431430,acorn,client_in,234,14790
1789402825.795431430,acorn,client_out,11082,8528312
1789402825.795431430,acorn,quic_in,9597,9027095
1789402825.795431430,acorn,quic_out,3365,199176
1789402830.225208734,axiom,quic_in,4423,261872
1789402830.225208734,axiom,quic_out,12669,11927102
1789402830.828371928,acorn,client_in,310,19632
1789402830.828371928,acorn,client_out,14753,11353056
1789402830.828371928,acorn,quic_in,12783,12018683
1789402830.828371928,acorn,quic_out,4476,264914
1789402835.229077609,axiom,quic_in,5517,326769
1789402835.229077609,axiom,quic_out,15863,14916805
1789402835.852647595,acorn,client_in,389,24696
1789402835.852647595,acorn,client_out,18436,14186842
1789402835.852647595,acorn,quic_in,15985,15017073
1789402835.852647595,acorn,quic_out,5554,329071
1789402840.233087070,axiom,quic_in,6642,393426
1789402840.233087070,axiom,quic_out,19037,17896608
1789402840.880576647,acorn,client_in,466,29576
1789402840.880576647,acorn,client_out,22108,17011622
1789402840.880576647,acorn,quic_in,19175,18008136
1789402840.880576647,acorn,quic_out,6693,396365
1789402845.237286016,axiom,quic_in,7800,461741
1789402845.237286016,axiom,quic_out,22217,20876978
1789402845.911542754,acorn,client_in,545,34578
1789402845.911542754,acorn,client_out,25789,19844968
1789402845.911542754,acorn,quic_in,22375,21007959
1789402845.911542754,acorn,quic_out,7849,464690
1789402850.241002610,axiom,quic_in,8826,523023
1789402850.241002610,axiom,quic_out,25397,23857102
1789402850.965562202,acorn,client_in,627,39792
1789402850.965562202,acorn,client_out,29501,22698038
1789402850.965562202,acorn,quic_in,25595,24026867
1789402850.965562202,acorn,quic_out,8879,526288
1789402855.244950137,axiom,quic_in,9911,587297
1789402855.244950137,axiom,quic_out,28569,26837582
1789402856.002519530,acorn,client_in,702,44524
1789402856.002519530,acorn,client_out,33180,25530970
1789402856.002519530,acorn,quic_in,28793,27025849
1789402856.002519530,acorn,quic_out,9985,591650
1789402860.249280082,axiom,quic_in,10982,650959
1789402860.249280082,axiom,quic_out,31741,29825923
1789402861.035493033,acorn,client_in,780,49524
1789402861.035493033,acorn,client_out,36862,28365064
1789402861.035493033,acorn,quic_in,31980,30025335
1789402861.035493033,acorn,quic_out,11054,655201
1789402865.253254380,axiom,quic_in,12037,713698
1789402865.253254380,axiom,quic_out,34907,32805337
1789402866.069804167,acorn,client_in,859,54552
1789402866.069804167,acorn,client_out,40545,31198148
1789402866.069804167,acorn,quic_in,35178,33024400
1789402866.069804167,acorn,quic_out,12120,718681
1789402870.257464401,axiom,quic_in,13154,779813
1789402870.257464401,axiom,quic_out,38071,35785070
1789402871.096464760,acorn,client_in,936,59432
1789402871.096464760,acorn,client_out,44228,34032608
1789402871.096464760,acorn,quic_in,38363,36024146
1789402871.096464760,acorn,quic_out,13236,784653
1789402875.261818623,axiom,quic_in,14280,846234
1789402875.261818623,axiom,quic_out,41251,38773139
1789402876.184262318,acorn,client_in,1012,64274
1789402876.184262318,acorn,client_out,47944,36894058
1789402876.184262318,acorn,quic_in,41592,39053282
1789402876.184262318,acorn,quic_out,14395,852986
1789402880.265766042,axiom,quic_in,15411,913053
1789402880.265766042,axiom,quic_out,44426,41753303
1789402881.216939852,acorn,client_in,1089,69154
1789402881.216939852,acorn,client_out,51616,39718838
1789402881.216939852,acorn,quic_in,44790,42052689
1789402881.216939852,acorn,quic_out,15527,919856
1789402885.269822066,axiom,quic_in,16526,979024
1789402885.269822066,axiom,quic_out,47590,44732580
1789402886.244474713,acorn,client_in,1165,73996
1789402886.244474713,acorn,client_out,55299,42553300
1789402886.244474713,acorn,quic_in,47971,45043548
1789402886.244474713,acorn,quic_out,16640,985725
1789402890.273675020,axiom,quic_in,17607,1043231
1789402890.273675020,axiom,quic_out,50749,47712785
1789402891.275398033,acorn,client_in,1242,78912
1789402891.275398033,acorn,client_out,58981,45387048
1789402891.275398033,acorn,quic_in,51159,48042779
1789402891.275398033,acorn,quic_out,17726,1050224
1789402895.277568960,axiom,quic_in,18656,1105635
1789402895.277568960,axiom,quic_out,53919,50692693
1789402896.306703478,acorn,client_in,1321,83904
1789402896.306703478,acorn,client_out,62663,48220092
1789402896.306703478,acorn,quic_in,54348,51041278
1789402896.306703478,acorn,quic_out,18784,1113214
1789402900.281691768,axiom,quic_in,19753,1170762
1789402900.281691768,axiom,quic_out,57092,53680452
1789402901.347807265,acorn,client_in,1400,88932
1789402901.347807265,acorn,client_out,66349,51054666
1789402901.347807265,acorn,quic_in,57542,54041637
1789402901.347807265,acorn,quic_out,19894,1179045
1789402905.286015704,axiom,quic_in,20856,1236187
1789402905.286015704,axiom,quic_out,60265,56660365
1789402906.380381429,acorn,client_in,1479,93996
1789402906.380381429,acorn,client_out,70033,53888490
1789402906.380381429,acorn,quic_in,60738,57041390
1789402906.380381429,acorn,quic_out,21005,1245017
1789402910.290001235,axiom,quic_in,21947,1301125
1789402910.290001235,axiom,quic_out,63437,59641648
1789402911.405391656,acorn,client_in,1557,98950
1789402911.405391656,acorn,client_out,73714,56721498
1789402911.405391656,acorn,quic_in,63930,60040020
1789402911.405391656,acorn,quic_out,22094,1309756
1789402915.294057779,axiom,quic_in,23037,1365670
1789402915.294057779,axiom,quic_out,66604,62621243
1789402916.428423180,acorn,client_in,1633,103792
1789402916.428423180,acorn,client_out,77383,59545828
1789402916.428423180,acorn,quic_in,67109,63029254
1789402916.428423180,acorn,quic_out,23188,1374570
1789402920.298313585,axiom,quic_in,24128,1430352
1789402920.298313585,axiom,quic_out,69774,65608206
1789402921.458884944,acorn,client_in,1710,108672
1789402921.458884944,acorn,client_out,81067,62380326
1789402921.458884944,acorn,quic_in,70306,66037082
1789402921.458884944,acorn,quic_out,24277,1439177
1789402925.302241036,axiom,quic_in,25197,1493760
1789402925.302241036,axiom,quic_out,72949,68588195
1789402926.516164851,acorn,client_in,1788,113636
1789402926.516164851,acorn,client_out,84772,65232434
1789402926.516164851,acorn,quic_in,73530,69057593
1789402926.516164851,acorn,quic_out,25372,1504219
1789402930.306786695,axiom,quic_in,26247,1556585
1789402930.306786695,axiom,quic_out,76133,71569023
1789402931.596598796,acorn,client_in,1872,118998
1789402931.596598796,acorn,client_out,88485,68085542
1789402931.596598796,acorn,quic_in,76744,72068833
1789402931.596598796,acorn,quic_out,26456,1568964
1789402935.310989260,axiom,quic_in,27334,1621124
1789402935.310989260,axiom,quic_out,79308,74549967
1789402936.620789137,acorn,client_in,1947,123766
1789402936.620789137,acorn,client_out,92164,70918476
1789402936.620789137,acorn,quic_in,79941,75067629
1789402936.620789137,acorn,quic_out,27536,1632959
1789402940.315019101,axiom,quic_in,28456,1687490
1789402940.315019101,axiom,quic_out,82483,77537274
1789402941.654619552,acorn,client_in,2025,128756
1789402941.654619552,acorn,client_out,95847,73752262
1789402941.654619552,acorn,quic_in,83128,78066764
1789402941.654619552,acorn,quic_out,28656,1699267
1789402945.319271467,axiom,quic_in,29576,1753560
1789402945.319271467,axiom,quic_out,85655,80517278
1789402946.680842261,acorn,client_in,2102,133636
1789402946.680842261,acorn,client_out,99520,76577756
1789402946.680842261,acorn,quic_in,86323,81058132
1789402946.680842261,acorn,quic_out,29788,1766203
1789402950.323326704,axiom,quic_in,30704,1820530
1789402950.323326704,axiom,quic_out,88833,83497770
1789402951.714166455,acorn,client_in,2183,138812
1789402951.714166455,acorn,client_out,103216,79420596
1789402951.714166455,acorn,quic_in,89542,84076638
1789402951.714166455,acorn,quic_out,30922,1833414
1789402955.327382590,axiom,quic_in,31768,1883676
1789402955.327382590,axiom,quic_out,92011,86478045
1789402956.798728757,acorn,client_in,2260,143692
1789402956.798728757,acorn,client_out,106932,82281368
1789402956.798728757,acorn,quic_in,92756,87095491
1789402956.798728757,acorn,quic_out,31971,1895743
1789402960.331324582,axiom,quic_in,32825,1946465
1789402960.331324582,axiom,quic_out,95182,89466102
1789402961.839201268,acorn,client_in,2340,148758
1789402961.839201268,acorn,client_out,110617,85115226
1789402961.839201268,acorn,quic_in,95943,90095027
1789402961.839201268,acorn,quic_out,33070,1961107
1789402965.335394042,axiom,quic_in,33943,2012867
1789402965.335394042,axiom,quic_out,98357,92446396
1789402966.863345340,acorn,client_in,2417,153674
1789402966.863345340,acorn,client_out,114289,87940346
1789402966.863345340,acorn,quic_in,99130,93085167
1789402966.863345340,acorn,quic_out,34187,2027304
1789402970.339690375,axiom,quic_in,35045,2078214
1789402970.339690375,axiom,quic_out,101526,95426247
1789402971.893622618,acorn,client_in,2496,158702
1789402971.893622618,acorn,client_out,117975,90774920
1789402971.893622618,acorn,quic_in,102323,96085382
1789402971.893622618,acorn,quic_out,35264,2091347
1789402975.344239791,axiom,quic_in,36116,2141741
1789402975.344239791,axiom,quic_out,104693,98405540
1789402976.947323590,acorn,client_in,2574,163656
1789402976.947323590,acorn,client_out,121678,93626274
1789402976.947323590,acorn,quic_in,105536,99103484
1789402976.947323590,acorn,quic_out,36390,2157970
1789402980.348194491,axiom,quic_in,37247,2208627
1789402980.348194491,axiom,quic_out,107878,101393749
