timestamp,role,flow,packets,bytes
1789401994.530741230,axiom,quic_in,1,55
1789401994.530741230,axiom,quic_out,1,426
1789401994.988951402,acorn,client_in,0,0
1789401994.988951402,acorn,client_out,41,33810
1789401994.988951402,acorn,quic_in,51,49286
1789401994.988951402,acorn,quic_out,9,574
1789401999.535784016,axiom,quic_in,1253,76129
1789401999.535784016,axiom,quic_out,5187,5285447
1789402000.057177745,acorn,client_in,110,10872
1789402000.057177745,acorn,client_out,5851,5120098
1789402000.057177745,acorn,quic_in,5359,5398700
1789402000.057177745,acorn,quic_out,1293,80898
1789402004.540214804,axiom,quic_in,2610,160641
1789402004.540214804,axiom,quic_out,10413,10601612
1789402005.091534105,acorn,client_in,204,18763
1789402005.091534105,acorn,client_out,11625,10176281
1789402005.091534105,acorn,quic_in,10646,10736700
1789402005.091534105,acorn,quic_out,2662,163640
1789402009.544087383,axiom,quic_in,3966,245176
1789402009.544087383,axiom,quic_out,15580,15850472
1789402010.126257071,acorn,client_in,316,29805
1789402010.126257071,acorn,client_out,17395,15219857
1789402010.126257071,acorn,quic_in,15937,16065908
1789402010.126257071,acorn,quic_out,4018,248197
1789402014.548036983,axiom,quic_in,5282,324781
1789402014.548036983,axiom,quic_out,20766,21124387
1789402015.159728681,acorn,client_in,408,37630
1789402015.159728681,acorn,client_out,23140,20250234
1789402015.159728681,acorn,quic_in,21155,21324009
1789402015.159728681,acorn,quic_out,5360,329249
1789402019.552022596,axiom,quic_in,6660,410184
1789402019.552022596,axiom,quic_out,25976,26423163
1789402020.190343506,acorn,client_in,516,48370
1789402020.190343506,acorn,client_out,28929,25320429
1789402020.190343506,acorn,quic_in,26435,26641560
1789402020.190343506,acorn,quic_out,6742,414829
1789402024.556155840,axiom,quic_in,7908,486075
1789402024.556155840,axiom,quic_out,31185,31719873
1789402025.216571529,acorn,client_in,611,56319
1789402025.216571529,acorn,client_out,34721,30399968
1789402025.216571529,acorn,quic_in,31734,31984325
1789402025.216571529,acorn,quic_out,7980,490338
1789402029.560630117,axiom,quic_in,9212,569583
1789402029.560630117,axiom,quic_out,36366,36963733
1789402030.247096971,acorn,client_in,724,69174
1789402030.247096971,acorn,client_out,40475,35431120
1789402030.247096971,acorn,quic_in,37004,37281101
1789402030.247096971,acorn,quic_out,9286,573822
1789402034.564801983,axiom,quic_in,10538,649624
1789402034.564801983,axiom,quic_out,41597,42276745
1789402035.281641894,acorn,client_in,832,79920
1789402035.281641894,acorn,client_out,46270,40504500
1789402035.281641894,acorn,quic_in,42301,42611374
1789402035.281641894,acorn,quic_out,10652,658730
1789402039.569025989,axiom,quic_in,11911,734932
1789402039.569025989,axiom,quic_out,46837,47606452
1789402040.312353053,acorn,client_in,924,87735
1789402040.312353053,acorn,client_out,52033,45551361
1789402040.312353053,acorn,quic_in,47565,47919184
1789402040.312353053,acorn,quic_out,11991,739528
1789402044.573173776,axiom,quic_in,13163,810975
1789402044.573173776,axiom,quic_out,52001,52857277
1789402045.369309253,acorn,client_in,1034,98665
1789402045.369309253,acorn,client_out,57844,50638711
1789402045.369309253,acorn,quic_in,52879,53269525
1789402045.369309253,acorn,quic_out,13288,820768
1789402049.577283474,axiom,quic_in,14511,895157
1789402049.577283474,axiom,quic_out,57200,58145388
1789402050.393714521,acorn,client_in,1130,106776
1789402050.393714521,acorn,client_out,63618,55694908
1789402050.393714521,acorn,quic_in,58142,58586646
1789402050.393714521,acorn,quic_out,14617,901357
1789402054.581533877,axiom,quic_in,15832,977641
1789402054.581533877,axiom,quic_out,62395,63413326
1789402055.427318312,acorn,client_in,1239,117596
1789402055.427318312,acorn,client_out,69370,60724078
1789402055.427318312,acorn,quic_in,63401,63876088
1789402055.427318312,acorn,quic_out,15956,984836
1789402059.585429638,axiom,quic_in,17166,1060502
1789402059.585429638,axiom,quic_out,67627,68730595
1789402060.460132531,acorn,client_in,1343,127950
1789402060.460132531,acorn,client_out,75145,65780171
1789402060.460132531,acorn,quic_in,68684,69200646
1789402060.460132531,acorn,quic_out,17277,1066990
1789402064.589234048,axiom,quic_in,18456,1141029
1789402064.589234048,axiom,quic_out,72836,74026182
1789402065.497313201,acorn,client_in,1448,138510
1789402065.497313201,acorn,client_out,80943,70859833
1789402065.497313201,acorn,quic_in,74006,74571622
1789402065.497313201,acorn,quic_out,18601,1149464
1789402069.593380640,axiom,quic_in,19811,1222787
1789402069.593380640,axiom,quic_out,78002,79281028
1789402070.529494984,acorn,client_in,1553,149140
1789402070.529494984,acorn,client_out,86725,75921194
1789402070.529494984,acorn,quic_in,79265,79864014
1789402070.529494984,acorn,quic_out,19969,1233023
1789402074.597251816,axiom,quic_in,21108,1303872
1789402074.597251816,axiom,quic_out,83195,84552631
1789402075.561217159,acorn,client_in,1649,157159
1789402075.561217159,acorn,client_out,92470,80950036
1789402075.561217159,acorn,quic_in,84504,85147130
1789402075.561217159,acorn,quic_out,21259,1312607
1789402079.601440036,axiom,quic_in,22480,1386601
1789402079.601440036,axiom,quic_out,88449,89908532
1789402080.607113665,acorn,client_in,1758,167979
1789402080.607113665,acorn,client_out,98295,86054382
1789402080.607113665,acorn,quic_in,89835,90515477
1789402080.607113665,acorn,quic_out,22652,1399118
1789402084.605649934,axiom,quic_in,23746,1465954
1789402084.605649934,axiom,quic_out,93646,95190487
1789402085.646873957,acorn,client_in,1851,175868
1789402085.646873957,acorn,client_out,104130,91177433
1789402085.646873957,acorn,quic_in,95175,95903412
1789402085.646873957,acorn,quic_out,23924,1476430
1789402089.609760135,axiom,quic_in,25005,1542579
1789402089.609760135,axiom,quic_out,98831,100457549
1789402090.685742940,acorn,client_in,1969,189041
1789402090.685742940,acorn,client_out,109900,96221885
1789402090.685742940,acorn,quic_in,100451,101208812
1789402090.685742940,acorn,quic_out,25183,1557580
1789402094.614281013,axiom,quic_in,26316,1626467
1789402094.614281013,axiom,quic_out,104087,105786123
1789402095.744376766,acorn,client_in,2059,196744
1789402095.744376766,acorn,client_out,115690,101295516
1789402095.744376766,acorn,quic_in,105753,106545444
1789402095.744376766,acorn,quic_out,26504,1637439
1789402099.618593989,axiom,quic_in,27679,1711183
1789402099.618593989,axiom,quic_out,109301,111076641
1789402100.775781632,acorn,client_in,2168,207564
1789402100.775781632,acorn,client_out,121451,106333262
1789402100.775781632,acorn,quic_in,111026,111844254
1789402100.775781632,acorn,quic_out,27885,1723146
1789402104.622481826,axiom,quic_in,29076,1792435
1789402104.622481826,axiom,quic_out,114471,116332274
1789402105.806417006,acorn,client_in,2242,212284
1789402105.806417006,acorn,client_out,127208,111386530
1789402105.806417006,acorn,quic_in,116296,117159333
1789402105.806417006,acorn,quic_out,29285,1804645
